id;partida_id;clube;cartao;atleta;posicao;minuto
13529;7738;Athletico-PR;Amarelo;Abner Vin°cius;Zagueiro;90
13530;7738;Athletico-PR;Amarelo;Pedro Henrique Ribeiro Gonáalves;Zagueiro;73
13531;7739;Atletico-GO;Amarelo;Gabriel Baralhas;Meio-campo;35
13532;7739;Avai;Amarelo;Eduardo Jacinto de Biasi;Meio-campo;61
13533;7739;Avai;Amarelo;Kevin Peterson dos Santos Silva;Zagueiro;27
13534;7740;Flamengo;Amarelo;Gabriel Barbosa Almeida;Atacante;90+6
13535;7740;Flamengo;Amarelo;LÇo Pereira;Zagueiro;68
13536;7741;Fluminense;Amarelo;F†bio Deivson Lopes Maciel;Goleiro;89
13537;7741;Fluminense;Amarelo;AndrÇ Trindade;Meio-campo;46
13538;7741;Atletico-MG;Amarelo;Rubens;Zagueiro;48
13539;7742;Santos;Amarelo;Rodrigo Fern†ndez;Meio-campo;77
13540;7742;Internacional;Amarelo;Eden°lson Andrade dos Santos;Meio-campo;22
13541;7743;Palmeiras;Amarelo;Joaqu°n Piquerez;Zagueiro;79
13542;7744;Coritiba;Amarelo;Igor Paix∆o;Meio-campo;71
13543;7744;Coritiba;Amarelo;Adri†n Emmanuel Mart°nez;Atacante;38
13544;7744;Sao Paulo;Amarelo;Igor Gomes;Meio-campo;75
13545;7745;Fortaleza;Amarelo;HÇrcules;Meio-campo;81
13546;7745;Goias;Amarelo;Dada;Zagueiro;68
13547;7743;Botafogo-RJ;Amarelo;Renzo Saravia;Zagueiro;32
13548;7744;Coritiba;Amarelo;Alef Manga;Meio-campo;45+3
13549;7744;Sao Paulo;Amarelo;Eder Citadin Martins;Atacante;85
13550;7744;Sao Paulo;Amarelo;Diego Henrique Costa Barbosa;Zagueiro;30
13551;7745;Goias;Amarelo;Matheus Sales;Meio-campo;70
13552;7747;Santos;Vermelho;Lucas Pires Silva;Zagueiro;60
13553;7746;Juventude;Amarelo;Yuri Oliveira Lima;Meio-campo;86
13554;7746;Juventude;Amarelo;Vitor Mendes;Zagueiro;59
13555;7747;Atletico-MG;Amarelo;êverson Felipe Marques Pires;Goleiro;84
13556;7747;Atletico-MG;Amarelo;Jair Rodrigues J£nior;Meio-campo;77
13557;7747;Santos;Amarelo;Auro;Zagueiro;90
13558;7747;Santos;Amarelo;Jo∆o Paulo;Goleiro;80
13559;7748;Fluminense;Amarelo;AndrÇ Trindade;Meio-campo;90+6
13560;7748;Fluminense;Amarelo;Samuel Xavier;Zagueiro;37
13561;7748;Atletico-GO;Amarelo;Hayner;Zagueiro;2
13562;7749;Bragantino;Amarelo;Jadsom;Meio-campo;90+2
13563;7749;Bragantino;Amarelo;HÇlio Junio Nunes de Castro;Meio-campo;26
13564;7750;Internacional;Amarelo;Taison;Atacante;77
13565;7750;Flamengo;Amarelo;M†rio SÇrgio Santos Costa;Atacante;82
13566;7750;Flamengo;Amarelo;Matheuzinho;Zagueiro;12
13567;7748;Fluminense;Vermelho;David Braz;Zagueiro;21
13568;7746;Corinthians;Amarelo;Giuliano Victor de Paula;Meio-campo;46
13569;7746;Juventude;Amarelo;Vitor Gabriel;Atacante;73
13570;7746;Juventude;Amarelo;Jean Carlos de Souza Irmer;Meio-campo;17
13571;7747;Atletico-MG;Amarelo;Allan Rodrigues de Souza;Meio-campo;78
13572;7747;Atletico-MG;Amarelo;Guilherme Arana;Zagueiro;64
13573;7747;Santos;Amarelo;Ricardo Goulart;Atacante;90
13574;7747;Santos;Amarelo;∂ngelo Gabriel;Atacante;78
13575;7748;Fluminense;Amarelo;Jhon Arias;Meio-campo;90+6
13576;7748;Atletico-GO;Amarelo;Gabriel Baralhas;Meio-campo;45+3
13577;7749;Cuiaba;Amarelo;Rafael Gustavo Meneghel Gava;Meio-campo;30
13578;7749;Bragantino;Amarelo;Aderlan Silva;Zagueiro;67
13579;7750;Internacional;Amarelo;Fabricio Bustos;Zagueiro;85
13580;7750;Internacional;Amarelo;Carlos de Pena;Meio-campo;24
13581;7750;Flamengo;Amarelo;Filipe Lu°s;Zagueiro;81
13582;7751;Ceara;Vermelho;Bruno Pacheco;Zagueiro;82
13583;7751;Goias;Amarelo;Fellipe Bastos;Meio-campo;70
13584;7751;Goias;Amarelo;Magno Jose da Silva;Meio-campo;43
13585;7751;Goias;Amarelo;Caio Vin°cius da Conceiá∆o;Meio-campo;16
13586;7751;Ceara;Amarelo;Richardson Fernandes dos Santos;Meio-campo;28
13587;7752;Sao Paulo;Amarelo;Rodrigo Nestor;Meio-campo;53
13588;7752;America-MG;Amarelo;Henrique Almeida;Atacante;77
13589;7753;Palmeiras;Amarelo;F†bio Silva de Freitas;Meio-campo;84
13590;7754;Fortaleza;Amarelo;Yago Pikachu;Meio-campo;72
13591;7754;Athletico-PR;Amarelo;Marcelo Cirino da Silva;Atacante;82
13592;7753;Coritiba;Vermelho;Thonny Anderson;Meio-campo;72
13593;7751;Goias;Amarelo;êlvis Vieira Ara£jo;Atacante;72
13594;7751;Goias;Amarelo;Reynaldo Cesar Moraes;Zagueiro;65
13595;7751;Goias;Amarelo;Sidnei;Zagueiro;26
13596;7751;Ceara;Amarelo;Jo∆o Ricardo Riedi;Goleiro;90+8
13597;7752;Sao Paulo;Amarelo;Jo∆o Miranda de Souza Filho;Zagueiro;76
13598;7752;America-MG;Amarelo;Wellington Paulista;Atacante;90+4
13599;7753;Coritiba;Amarelo;Guilherme Biro;Zagueiro;36
13600;7753;Palmeiras;Amarelo;Eduardo Pereira Rodrigues;Meio-campo;34
13601;7754;Athletico-PR;Amarelo;Erick Luis Conrado Carvalho;Meio-campo;86
13602;7754;Athletico-PR;Amarelo;Matheus Fernandes;Meio-campo;50
13603;7755;Avai;Vermelho;Bruno CÇsar Pereira da Silva;Meio-campo;90+7
13604;7755;Botafogo-RJ;Amarelo;Erison Danilo de Souza;Atacante;90+1
13605;7755;Botafogo-RJ;Amarelo;Hugo;Zagueiro;53
13606;7755;Avai;Amarelo;Vladimir Orlando Cardoso de Ara£jo Filho;Goleiro;83
13607;7755;Avai;Amarelo;Bruno CÇsar Pereira da Silva;Meio-campo;75
13608;7755;Avai;Amarelo;Eduardo Jacinto de Biasi;Meio-campo;27
13609;7755;Botafogo-RJ;Amarelo;Romildo Del Piage;Meio-campo;73
13610;7755;Botafogo-RJ;Amarelo;Vin°cius Lopes;Meio-campo;18
13611;7755;Avai;Amarelo;Matheus Galdezani;Meio-campo;82
13612;7755;Avai;Amarelo;Raniele;Zagueiro;68
13613;7756;Santos;Amarelo;Rodrigo Fern†ndez;Meio-campo;87
13614;7756;Juventude;Vermelho;Yuri Oliveira Lima;Meio-campo;45+5
13615;7756;Juventude;Amarelo;Paulinho Moccelin;Atacante;90+1
13616;7756;Santos;Amarelo;Auro;Zagueiro;21
13617;7761;Athletico-PR;Vermelho;Hugo Moura;Meio-campo;71
13618;7762;America-MG;Vermelho;Alexandre Egea;Meio-campo;11
13619;7761;Athletico-PR;Amarelo;Abner Vin°cius;Zagueiro;85
13620;7761;Corinthians;Amarelo;R¢ger Guedes;Atacante;76
13621;7762;America-MG;Amarelo;Marlon;Zagueiro;79
13622;7762;America-MG;Amarelo;Everaldo;Meio-campo;36
13623;7757;Ceara;Amarelo;Fernando Sobral;Meio-campo;90+4
13624;7757;Atletico-MG;Amarelo;Calebe;Meio-campo;88
13625;7757;Atletico-MG;Amarelo;Rubens;Meio-campo;75
13626;7758;Bragantino;Amarelo;LÇo Ortiz;Zagueiro;77
13627;7759;Goias;Amarelo;Luan Dias;Atacante;90+5
13628;7759;Goias;Amarelo;Renato J£nior;Atacante;59
13629;7759;Internacional;Amarelo;Liziero;Meio-campo;83
13630;7759;Internacional;Amarelo;MoisÇs Roberto Barbosa;Zagueiro;70
13631;7760;Cuiaba;Amarelo;Camilo Reijers;Meio-campo;64
13632;7761;Corinthians;Vermelho;Roni;Meio-campo;71
13633;7761;Athletico-PR;Amarelo;David Terans;Meio-campo;53
13634;7761;Corinthians;Amarelo;Rafael Ramos;Zagueiro;50
13635;7762;America-MG;Amarelo;Carlos Alberto Gomes da Silva Filho;Atacante;46
13636;7762;Fluminense;Amarelo;Gustavo Nonato Santana;Meio-campo;90+4
13637;7757;Ceara;Amarelo;Richard Candido Coelho;Meio-campo;39
13638;7757;Atletico-MG;Amarelo;Junior Alonso;Zagueiro;87
13639;7758;Bragantino;Amarelo;Jadsom;Meio-campo;82
13640;7758;Coritiba;Amarelo;Mat°as Galarza;Meio-campo;82
13641;7759;Goias;Amarelo;Reynaldo Cesar Moraes;Zagueiro;72
13642;7759;Goias;Amarelo;Matheus Sales;Atacante;32
13643;7759;Internacional;Amarelo;Daniel;Goleiro;76
13644;7760;Flamengo;Amarelo;Vitinho;Atacante;29
13645;7760;Cuiaba;Amarelo;AndrÇ Felipe Ribeiro de Souza;Atacante;13
13646;7763;Botafogo-RJ;Amarelo;V°ctor Cuesta;Zagueiro;83
13647;7763;Botafogo-RJ;Amarelo;Joel Carli;Zagueiro;71
13648;7763;Botafogo-RJ;Amarelo;Kanu;Zagueiro;38
13649;7763;Sao Paulo;Amarelo;Robert Arboleda;Zagueiro;65
13650;7763;Sao Paulo;Amarelo;Patrick;Meio-campo;45+4
13651;7764;Palmeiras;Amarelo;Danilo;Meio-campo;23
13652;7765;Avai;Amarelo;JosÇ Renato da Silva J£nior;Atacante;75
13653;7765;Fortaleza;Amarelo;Robson Fernandes;Atacante;67
13654;7764;Atletico-GO;Vermelho;Arthur Henrique;Zagueiro;74
13655;7763;Botafogo-RJ;Amarelo;Kayque;Meio-campo;76
13656;7763;Botafogo-RJ;Amarelo;Renzo Saravia;Meio-campo;51
13657;7763;Botafogo-RJ;Amarelo;Patrick de Paula;Meio-campo;35
13658;7763;Sao Paulo;Amarelo;Jonathan Calleri;Atacante;56
13659;7764;Palmeiras;Amarelo;JosÇ Rafael Vivian;Meio-campo;50
13660;7764;Atletico-GO;Amarelo;Diego Chur°n;Atacante;39
13661;7765;Fortaleza;Amarelo;Marcelo Boeck;Goleiro;68
13662;7765;Fortaleza;Amarelo;JosÇ Welison;Meio-campo;17
13663;7766;Ceara;Amarelo;Nino Para°ba;Zagueiro;80
13664;7767;Santos;Amarelo;Ricardo Goulart;Atacante;86
13665;7767;Santos;Amarelo;Bruno Felipe de Oliveira;Meio-campo;25
13666;7767;Bragantino;Amarelo;Bruno Praxedes;Meio-campo;80
13667;7767;Bragantino;Amarelo;Raul;Meio-campo;20
13668;7766;Ceara;Amarelo;ClÇber;Atacante;40
13669;7767;Santos;Amarelo;Jo∆o Paulo;Goleiro;56
13670;7767;Santos;Amarelo;Vinicius Zanocelo;Meio-campo;23
13671;7767;Bragantino;Amarelo;HÇlio Junio Nunes de Castro;Meio-campo;61
13672;7769;Coritiba;Vermelho;Warley;Atacante;90+12
13673;7771;Internacional;Vermelho;David Corràa da Fonseca;Atacante;90+17
13674;7771;Botafogo-RJ;Vermelho;Lucas Piazon;Atacante;90+17
13675;7773;Juventude;Vermelho;William Matheus;Zagueiro;51
13676;7768;Atletico-MG;Amarelo;Eduardo Vargas;Meio-campo;66
13677;7768;Atletico-MG;Amarelo;Ignacio Fern†ndez;Meio-campo;60
13678;7769;Coritiba;Amarelo;Mat°as Galarza;Meio-campo;90+12
13679;7769;Coritiba;Amarelo;Adri†n Emmanuel Mart°nez;Atacante;76
13680;7769;Coritiba;Amarelo;Diego Porf°rio;Zagueiro;15
13681;7769;Athletico-PR;Amarelo;Matheus Babi;Atacante;80
13682;7769;Athletico-PR;Amarelo;LÇo Cittadini;Meio-campo;70
13683;7769;Athletico-PR;Amarelo;Pablo Felipe Teixeira;Atacante;15
13684;7770;Goias;Amarelo;Pedro Junqueira;Atacante;83
13685;7770;Goias;Amarelo;Magno Jose da Silva;Meio-campo;35
13686;7771;Internacional;Amarelo;Carlos de Pena;Meio-campo;86
13687;7771;Internacional;Amarelo;Maur°cio;Meio-campo;69
13688;7771;Internacional;Amarelo;Kaique Rocha;Zagueiro;36
13689;7771;Botafogo-RJ;Amarelo;Patrick de Paula;Meio-campo;90+3
13690;7771;Botafogo-RJ;Amarelo;Hugo;Meio-campo;75
13691;7771;Botafogo-RJ;Amarelo;Joel Carli;Zagueiro;34
13692;7773;Atletico-GO;Amarelo;LÇo Pereira;Atacante;77
13693;7773;Atletico-GO;Amarelo;Hayner;Zagueiro;11
13694;7773;Juventude;Amarelo;Capixaba;Atacante;55
13695;7773;Juventude;Amarelo;Gabriel Tota;Meio-campo;35
13696;7774;Avai;Amarelo;Raniele;Meio-campo;77
13697;7769;Coritiba;Vermelho;Diego Porf°rio;Zagueiro;86
13698;7771;Internacional;Vermelho;Gabriel Mercado;Zagueiro;90+16
13699;7771;Botafogo-RJ;Vermelho;Philipe Sampaio;Zagueiro;7
13700;7768;Atletico-MG;Amarelo;Ademir;Atacante;86
13701;7768;Atletico-MG;Amarelo;Mariano Ferreira Filho;Zagueiro;63
13702;7768;Flamengo;Amarelo;M†rio SÇrgio Santos Costa;Atacante;55
13703;7769;Coritiba;Amarelo;Rafael William Dias Pinheiro;Goleiro;90+7
13704;7769;Coritiba;Amarelo;Neilton Mestzk;Atacante;25
13705;7769;Athletico-PR;Amarelo;Nicol†s Hern†ndez;Zagueiro;90+11
13706;7769;Athletico-PR;Amarelo;Pedro Henrique Ribeiro Gonáalves;Zagueiro;77
13707;7769;Athletico-PR;Amarelo;Pablo Siles;Meio-campo;58
13708;7770;Corinthians;Amarelo;R¢ger Guedes;Atacante;58
13709;7770;Goias;Amarelo;Da Silva;Zagueiro;47
13710;7770;Goias;Amarelo;Caio Vin°cius da Conceiá∆o;Meio-campo;32
13711;7771;Internacional;Amarelo;Gabriel Mercado;Zagueiro;76
13712;7771;Internacional;Amarelo;MoisÇs Roberto Barbosa;Zagueiro;49
13713;7771;Botafogo-RJ;Amarelo;Lucas Piazon;Atacante;90+16
13714;7771;Botafogo-RJ;Amarelo;Gatito Fern†ndez;Goleiro;88
13715;7771;Botafogo-RJ;Amarelo;Kayque;Meio-campo;58
13716;7772;Fortaleza;Amarelo;Brayan Ceballos;Zagueiro;75
13717;7773;Atletico-GO;Amarelo;Gabriel Baralhas;Meio-campo;68
13718;7773;Juventude;Amarelo;Ricardo Bueno;Atacante;64
13719;7773;Juventude;Amarelo;Jadson;Meio-campo;45+4
13720;7774;Avai;Amarelo;Arthur Chaves;Zagueiro;87
13721;7774;Avai;Amarelo;Bruno CÇsar Pereira da Silva;Meio-campo;75
13722;7775;Sao Paulo;Amarelo;Gabriel Neves;Meio-campo;46
13723;7775;Sao Paulo;Amarelo;Igor Vin°cius;Meio-campo;39
13724;7775;Sao Paulo;Amarelo;Reinaldo Manoel da Silva;Meio-campo;45+3
13725;7775;Palmeiras;Amarelo;Danilo;Meio-campo;45+4
13726;7776;Internacional;Amarelo;Caio Vidal Rocha;Atacante;90+1
13727;7776;Coritiba;Amarelo;Igor Paix∆o;Meio-campo;76
13728;7776;Coritiba;Amarelo;Matheus Alexandre Anast†cio de Souza;Zagueiro;49
13729;7776;Internacional;Amarelo;Thauan Lara;Zagueiro;65
13730;7776;Coritiba;Amarelo;Thonny Anderson;Meio-campo;61
13731;7776;Coritiba;Amarelo;Guilherme Biro;Zagueiro;45+2
13732;7777;Athletico-PR;Amarelo;Matheus Fernandes;Meio-campo;90+7
13733;7777;Athletico-PR;Amarelo;Khellven;Zagueiro;77
13734;7777;Bragantino;Amarelo;HÇlio Junio Nunes de Castro;Meio-campo;28
13735;7778;America-MG;Amarelo;Patric Cabral Lalau;Zagueiro;54
13736;7779;Corinthians;Amarelo;Fagner;Zagueiro;79
13737;7779;Corinthians;Amarelo;Roni;Meio-campo;3
13738;7779;Santos;Amarelo;Rodrigo Fern†ndez;Meio-campo;81
13739;7780;Fortaleza;Amarelo;Vitor Ricardo;Zagueiro;88
13740;7780;Fortaleza;Amarelo;Lucas Crispim;Meio-campo;83
13741;7780;Fortaleza;Amarelo;Ronald;Meio-campo;53
13742;7777;Athletico-PR;Amarelo;Vitor Bueno;Meio-campo;89
13743;7777;Athletico-PR;Amarelo;Vitor Roque;Atacante;59
